,"消費者物價基本分類暨項目群指數"
,,,,,,,"單位：民國105年=100"
"統計期","總指數","一.食物類","二.衣著類","三.居住類","四.交通及通訊類","五.醫藥保健類","六.教養娛樂類","七.雜項類",
"70年","57.07","42.76","90.99","64.14","88.59","49.07","40.66","60.84",
"71年","58.75","44.54","92.59","65.79","88.93","49.58","42.80","60.78",
"72年","59.55","45.13","93.18","67.07","88.32","49.55","44.17","61.30",
"73年","59.54","44.12","94.93","67.59","89.56","51.22","45.35","61.80",
"74年","59.44","43.22","94.40","67.78","90.24","52.95","47.28","61.61",
"75年","59.85","44.21","91.20","67.63","86.96","53.15","48.96","61.42",
"76年","60.16","44.74","89.19","67.90","85.55","53.74","49.91","61.51",
"77年","60.94","45.37","91.49","68.31","84.55","53.45","52.79","61.79",
"78年","63.63","48.20","91.99","71.28","85.66","55.65","55.13","63.25",
"79年","66.25","49.91","92.14","75.30","87.76","57.41","59.36","64.84",
"80年","68.65","50.42","92.30","79.67","93.10","59.51","64.13","66.45",
"81年","71.72","54.63","93.80","82.45","92.04","62.78","68.01","67.61",
"82年","73.83","56.31","90.51","85.50","92.55","63.67","72.69","70.07",
"83年","76.86","59.94","89.78","89.05","92.77","64.86","76.95","72.03",
"84年","79.67","62.52","93.08","92.17","94.97","65.89","80.74","74.30",
"85年","82.12","64.91","95.36","94.09","96.08","67.01","86.65","75.32",
"86年","82.87","64.45","96.36","95.13","97.14","68.59","89.79","76.24",
"87年","84.26","67.29","91.04","96.18","96.19","69.21","92.70","77.43",
"88年","84.41","66.81","89.99","96.26","95.47","71.83","94.64","78.32",
"89年","85.47","67.07","90.47","96.65","98.54","74.78","97.49","79.05",
"90年","85.46","66.46","88.92","96.14","99.63","75.71","99.56","79.24",
"91年","85.29","66.35","89.40","95.00","97.43","76.70","99.67","82.75",
"92年","85.05","66.30","90.46","94.08","98.05","79.16","98.37","82.33",
"93年","86.42","69.10","93.31","93.88","100.13","80.70","98.49","83.21",
"94年","88.42","74.11","93.18","94.26","101.45","84.34","98.26","83.00",
"95年","88.95","73.63","89.84","95.09","103.22","87.46","98.43","86.12",
"96年","90.55","75.73","92.32","96.02","105.07","91.28","99.03","87.55",
"97年","93.74","82.21","93.24","97.50","107.55","93.45","100.33","88.86",
"98年","92.92","81.84","92.58","97.17","103.25","94.00","98.54","90.97",
"99年","93.82","82.35","94.14","97.62","106.21","94.59","98.49","93.36",
"100年","95.15","84.21","96.84","98.46","107.73","96.49","99.00","94.54",
"101年","96.99","87.72","99.28","99.60","108.21","97.21","99.68","96.57",
"102年","97.76","88.82","99.09","100.51","108.69","98.21","100.01","97.07",
"103年","98.93","92.15","100.36","101.39","107.39","98.85","99.94","98.36",
"104年","98.63","95.03","99.80","100.24","101.13","99.14","99.91","98.63",
"105年","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00",
"106年","100.62","99.63","99.76","100.86","101.81","101.71","100.29","101.90",
"107年","101.98","100.62","100.05","101.78","104.12","102.78","100.52","106.73",
"108年","102.55","102.54","99.31","102.42","102.61","103.65","101.27","107.35",
"109年","102.31","103.23","100.52","102.71","98.64","104.48","100.29","108.40",
"110年","104.32","105.75","102.31","103.65","104.63","104.72","101.50","108.82",

註解：
1.項目群月指數自2013年1月起發布。
2.當月該項水果若非屬產季，則指數及年增率欄以「-」列示。
3.國外旅遊團費自109年4月起無任何報價，依國際勞工組織(InternationalLaborOrganization)之CPI編製手冊規範，該項指數以同月國內旅遊團費之月增率設算編製(110年4月、110年8月至111年1月另納入台灣帛琉旅遊團費之報價)。
  

  
